category,name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2022_name,ward_2022_code,cim_latitude,cim_longitude,easting,northing
nightclub,Oslo Hackney,"1a Amhurst Road, Hackney, London,  E8 1LL",,1A Amhurst Rd,Hackney,www.oslohackney.com,10008289187,E09000012,Hackney Central,E05009372,51.547982,-0.05752,534784.1614,185019.8405
nightclub,Servant Jazz Quarters,"10a Bradbury Street , Dalston, N16 8JH",Hackney,10 Bradbury Street,Hackney,www.servantjazzquarters.com,10008302207,E09000012,Dalston,E05009370,51.548642,-0.076722001,533450.9128,185058.0162
nightclub,Sebright Arms,34 Coate Street; Bethnal Green; London E2 9AG; Uni,Tower Hamlets,31-35 Coate Street,Tower Hamlets,www.sebrightarms.co.uk,6021840,E09000030,St Peter's,E05009331,51.532091,-0.063057,534447.0469,183242.5234
nightclub,Village Underground,54 Holywell Lane; Shoreditch; London EC2A 3PQ; Uni,Hackney,54 Holywell Lane,Hackney,www.villageunderground.co.uk,10091784233,E09000012,Hoxton East & Shoreditch,E05009377,51.523788,-0.078034,533432.5757,182291.7791
nightclub,229 The Venue,"229 Great Portland Street, Fitzrovia, London, W1W ",City Of Westminster,229 Great Portland,Westminster,www.229thevenue.com,1.00E+11,E09000033,West End,E05013808,51.522726,-0.14375,528876.9167,182055.9738
nightclub,Gladstone Arms,64 Lant Street,Southwark,64 Lant Street,Southwark,www.thegladpub.co.uk,2.00E+11,E09000028,Chaucer,E05011098,51.50039049,-0.093530014,532425.4498,179661.8166
nightclub,Jazz After Dark,9 Greek Street,Soho,9 Greek Street,Camden,http://www.jazzafterdark.co.uk/,10033551268,E09000007,Holborn & Covent Garden,E05013662,51.51398238,-0.129430233,529895.1588,181108.9676
nightclub,Notting Hill Arts Club,21 Notting Hill Gate; Notting Hill; London W11 3JQ,Kensington And Chelsea,19-21 Notting Hill,Kensington and Chelsea,www.nottinghillartsclub.com,217059366,E09000020,Campden,E05009390,51.509376,-0.19455,525389.5063,180483.2617
nightclub,Piano Works,113-117 Farringdon Rd,,,Islington,https://www.pianoworks.bar,10012787103,E09000019,Clerkenwell,E05013702,51.52235585,-0.106481583,531463.3271,182081.0435
nightclub,Red Room (Ealing Jazz Club),42a The Broadway,,,Ealing,www.ealingclub.com/,12133012,E09000009,Ealing Broadway,E05013520,51.5139036,-0.300944676,517994.863,180810.0515
nightclub,Troxy,"490 Commercial Road, London E1 0HX",Tower Hamlets,490 Commercial Roa,Tower Hamlets,www.troxy.co.uk,6027797,E09000030,Shadwell,E05009332,51.513147,-0.04332,535872.2861,181172.3446
nightclub,Three Crowns,175 Stoke Newington High Street; Stoke Newington; ,Hackney,175 Stoke Newingto,Hackney,http://www.threecrownsn16.com,1.00E+11,E09000012,Stoke Newington,E05009385,51.562584,-0.073793001,533613.1954,186613.7431
nightclub,Raffles Chelsea Ltd,25 Lonsdale Road,,,Richmond upon Thames,,,E09000027,Barnes,E05013774,51.48610998,-0.237250021,522488.8066,177823.8098
nightclub,Scandals,82 Norwood High Street,,,Lambeth,,,E09000022,Knight's Hill,E05014106,51.42961998,-0.101360008,532086.0217,171778.0106
nightclub,Medicine Bar & Nightclub,89 Great Eastern Street,,,Hackney,,,E09000012,Hoxton East & Shoreditch,E05009377,51.52590001,-0.08334998,533057.6598,182516.956
nightclub,The Penthouse,1 Leicester Square,,,Westminster,,,E09000033,St James's,E05013806,51.51074,-0.130440016,529834.3116,180746.6212
nightclub,The Aviary Cave Bar,164 Basin Approach,,,Tower Hamlets,,,E09000030,Limehouse,E05009326,51.51082,-0.033809999,536539.0894,180931.2648
nightclub,The Planet Nollywood,319 Camberwell Road,,,Southwark,,,E09000028,Camberwell Green,E05011096,51.47607999,-0.093540028,532495.1489,176958.4561
nightclub,Pier One,162 Bidder St N,,162 Bidder St N,Newham,Pier One Nightspot | London Nightclub | Afro-Beat Music Nightclub,,E09000025,Canning Town North,E05013906,51.51771001,0.003549986,539110.4365,181767.7243
nightclub,Maggie's Club ,329 Fulham Rd,,329 Fulham Rd,Kensington and Chelsea,Maggie's Club - The 80s are back! Chelsea's premier eighties nightclub (maggies-club.com),,E09000020,Stanley,E05009405,51.48638998,-0.18005996,526458.5747,177952.0808
nightclub,Unit 58 Ltd,5 Albert Street,,,Camden,,,E09000007,Regent's Park,E05013668,51.53458999,-0.141800009,528978.6692,183378.697
nightclub,The Roxy,3-5 Rathbone Pl,Soho,3-5 Rathbone Pl,Westminster,http://www.theroxy.co.uk/,,E09000033,West End,E05013808,51.51669002,-0.133009991,529639.0949,181403.7179
nightclub,Fantazya,69 Albert Embankment,,69 Albert Embankme,Lambeth,Fantazya | Arabic Night Club,,E09000022,Vauxhall,E05014117,51.48789998,-0.123220012,530400.4479,178219.6125
nightclub,Ligthbox,6 S Lambeth Pl,,6 S Lambeth Pl,Lambeth,,,E09000022,Vauxhall,E05014117,51.48564999,-0.123489994,530388.1183,177968.9302
nightclub,The Watershed,267 The Broadway,,,Merton,,,E09000024,Abbey,E05013810,51.41942,-0.194940018,525608.9636,170479.392
